Full Name,Workplace,Location,Connections,Followers,Number of Experiences,Number of Educations,Number of Skills,Number of Projects,Number of Publications,Number of Languages,Number of Interests,Average Likes per Post,Average Comments per Post,Average Shares per Post,Total Posts,Engagement Rate (%),Last Active Date,Post Frequency,Most Engaged Post Type,Years of Experience,Job Changes in Last 5 Years,Promotion Count,Industry,Sentiment of Recent Posts,LinkedIn Profile Popularity Score
Sneha Joshi,Amazon,Australia,1368,18659,14,3,47,3,4,4,11,463,94,30,192,3.15,01-01-2023,Monthly,Image,15,2,1,Education,Positive,85.82
Isha Bansal,Amazon,Canada,875,9953,2,4,27,2,4,4,5,415,94,11,86,2.52,02-01-2023,Monthly,Text,25,0,2,Education,Positive,19.89
Priya Verma,Freelancer,Australia,492,6879,5,4,45,5,1,2,10,456,2,17,99,5.32,03-01-2023,Monthly,Video,15,3,0,Tech,Negative,46.62
Priya Verma,Freelancer,UK,4500,10143,12,1,37,5,2,1,4,45,58,33,276,9.62,04-01-2023,Weekly,Article,1,1,1,Marketing,Neutral,42.93
Swati Rajan,Amazon,UK,1897,10976,6,4,49,2,4,1,19,411,22,43,404,3.2,05-01-2023,Daily,Image,13,4,1,Finance,Negative,34.38
Varun Bhatia,Microsoft,UK,2630,14948,3,1,25,9,2,3,6,404,12,36,109,8.72,06-01-2023,Daily,Video,7,1,2,Consulting,Negative,88.8
Karthik Nair,Startup,Germany,977,142,10,3,18,8,4,4,19,424,13,34,54,6.08,07-01-2023,Daily,Image,15,2,1,Education,Positive,82.66
Ritika Jain,Startup,Germany,4615,10935,3,3,47,5,1,1,2,305,78,2,208,1.67,08-01-2023,Rarely,Image,16,0,0,Education,Neutral,59.84
Manish Kulkarni,Freelancer,Germany,3537,19444,8,3,30,8,4,4,3,144,73,0,233,3.25,09-01-2023,Rarely,Text,23,4,0,Finance,Positive,32.81
Rohan Iyer,Freelancer,Canada,2334,3521,14,2,40,6,3,2,17,463,54,9,360,3.32,10-01-2023,Daily,Video,18,3,1,Marketing,Neutral,83.27
Rahul Mishra,Freelancer,USA,3712,14909,11,4,21,2,1,4,9,294,47,45,471,0.8,11-01-2023,Weekly,Image,10,3,1,Finance,Negative,64.32
Aditi Chauhan,Amazon,UK,488,7517,1,4,30,0,1,3,19,308,67,42,360,4.01,12-01-2023,Monthly,Video,26,2,0,Finance,Neutral,51.94
Varun Bhatia,Startup,Canada,4227,18657,10,1,22,4,1,3,9,180,20,3,297,1.32,13-01-2023,Monthly,Video,23,0,1,Consulting,Neutral,23.83
Siddharth Pandey,Microsoft,USA,4299,3014,8,2,31,8,4,3,1,443,31,38,436,5.24,14-01-2023,Weekly,Image,26,3,1,Education,Neutral,6.41
Manish Kulkarni,Amazon,Canada,4453,5708,6,2,32,9,3,1,4,71,88,17,400,3.85,15-01-2023,Daily,Article,27,4,1,Tech,Neutral,17.4
Abhishek Tiwari,Microsoft,USA,4123,19857,4,2,13,3,2,4,19,99,10,23,486,7.12,16-01-2023,Daily,Image,13,2,1,Tech,Positive,17.13
Pallavi Thakur,Amazon,India,3969,15564,11,2,30,3,1,2,18,18,30,41,304,9.57,17-01-2023,Daily,Text,2,3,2,Consulting,Positive,36.62
Rajesh Gupta,Startup,UK,2452,7971,1,1,19,4,1,3,12,453,9,4,291,5.3,18-01-2023,Monthly,Text,4,0,2,Education,Negative,12.43
Aakash Sinha,Startup,Germany,502,19278,14,1,16,9,1,1,18,341,83,33,336,0.87,19-01-2023,Weekly,Text,7,4,1,Finance,Positive,5.48
